City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maun,-20.324,23.6512,27.94,48,95,2.72,BW,1675022151
1,ketchikan,52.7463,-132.7516,6.0,60,13,8.05,CA,1675022156
2,palmas,-9.8302,-47.4392,29.61,56,74,1.67,BR,1675022157
3,bambous virieux,-30.5194,18.1414,17.71,49,0,1.26,ZA,1675022160
4,rikitea,1.5626,171.5894,27.0,81,91,9.41,KI,1675022161
5,puri,14.6834,25.3391,25.17,12,99,3.02,SD,1675022163
6,paragominas,57.1482,-102.8247,-24.16,83,100,4.72,CA,1675022166
7,khatanga,-3.8667,-48.2233,26.84,81,98,0.91,BR,1675022167
8,grand river south east,3.6547,100.3254,27.14,75,98,4.9,MY,1675022169
9,avarua,1.494,15.6662,24.22,71,84,0.57,CG,1675022175
10,tezu,29.9923,0.5203,8.1,35,0,4.17,DZ,1675022177
11,tuatapere,27.8285,98.6676,0.2,85,11,1.27,CN,1675022179
12,nemuro,-22.0941,149.6732,25.38,76,87,3.06,AU,1675022196
13,lasa,71.5122,111.2785,-44.18,100,84,0.49,RU,1675022198
14,jamestown,36.4659,108.4324,-4.01,22,0,1.97,CN,1675022200
15,santa maria,43.2646,146.333,-4.3,42,0,3.38,JP,1675022201
16,viedma,32.1531,90.9997,-7.71,15,0,0.65,CN,1675022201
17,severodvinsk,17.3999,-21.7924,19.98,69,85,9.23,CV,1675022205
18,mar del plata,73.1767,78.7088,-31.11,100,91,2.49,RU,1675022208
19,opuwo,55.3901,37.9622,-2.83,86,100,4.02,RU,1675022208
20,ondorhaan,64.5969,40.047,-1.99,89,100,5.38,RU,1675022209
21,saint-augustin,-24.4694,35.0051,24.61,83,53,5.98,MZ,1675022210
22,arman,25.4685,80.9831,12.74,49,0,3.26,IN,1675022213
23,saint anthony,48.4738,109.9981,-16.9,87,100,1.07,MN,1675022215
24,vila velha,68.0356,-103.6561,-28.65,98,98,6.63,CA,1675022216
25,illoqqortoormiut,52.7881,-61.3883,-23.94,83,18,4.96,CA,1675022216
26,hobart,-76.6773,171.8569,-2.25,67,97,4.05,AQ,1675022217
27,darab,19.362,-13.1275,20.06,24,34,1.31,MR,1675022218
28,leningradskiy,28.7846,54.2768,9.11,57,0,0.47,IR,1675022226
29,gladstone,70.1608,-93.8854,-31.51,96,100,2.71,CA,1675022227
30,deputatskiy,64.4057,-55.0443,-6.61,92,100,10.74,GL,1675022233
31,russell,57.236,-8.8688,7.0,72,71,18.24,GB,1675022234
32,hithadhoo,15.3623,99.8734,18.72,45,23,0.12,TH,1675022236
33,sao filipe,52.776,-57.7164,-21.71,79,74,8.63,CA,1675022239
34,vaini,-5.2346,-70.1286,27.29,84,71,0.27,BR,1675022241
35,arraial do cabo,10.8618,74.8252,26.94,73,9,2.48,IN,1675022244
